Month,Region,State,Energy Requirement,Energy met,Peak Demand Met
01-02-2025,SR,Odisha,3023,3023,5787
01-02-2025,ER,West Bengal,4576,4576,8337
01-02-2025,ER,Sikkim,57,57,134
01-02-2025,ER,Railway ER ISTS,6,6,28
01-02-2025,ER,Arunachal Pradesh,94,94,191
01-02-2025,ER,Assam,795,795,1647
01-02-2025,ER,Manipur,93,89,248
01-02-2025,ER,Meghalaya,155,155,352
01-02-2025,NER,Mizoram,60,60,160
01-02-2025,NER,Nagaland,70,70,173
01-02-2025,NER,Tripura,124,124,252
01-01-2025,NER,Chandigarh,138,138,312
01-01-2025,NER,Delhi,2584,2584,5655
01-01-2025,NER,Haryana,4728,4727,9157
01-01-2025,NER,Himachal Pradesh,1178,1178,2273
01-01-2025,NR,J&K(UT) and Ladakh(UT),2080,2076,3148
01-01-2025,NR,Punjab,4759,4759,10142
01-01-2025,NR,Rajasthan,10114,10114,18572
01-01-2025,NR,Uttar Pradesh,11301,11299,22034
01-01-2025,NR,Uttarakhand,1376,1376,2568
01-01-2025,NR,Railway NR ISTS,124,124,228
01-01-2025,NR,Gujarat,12839,12839,23929
01-01-2025,NR,Madhya Pradesh,10071,10055,18580
01-01-2025,NR,Chhattisgarh,3514,3511,5906
01-01-2025,NR,Maharashtra,18397,18397,29826
01-01-2025,NR,Goa,444,444,754
01-01-2025,WR,Andhra Pradesh,6408,6357,12027
01-01-2025,WR,Telangana,8330,8272,15205
01-01-2025,WR,Karnataka,8866,8802,17691
01-01-2025,SR,Kerala,2622,2602,4520
01-01-2025,SR,Tamil Nadu,9795,9717,17279
01-01-2025,SR,Puducherry,260,258,450
01-01-2025,SR,Bihar,3084,3065,5672
01-01-2025,SR,Jharkhand,1215,1215,2161
01-01-2025,SR,Odisha,3130,3130,5598
01-01-2025,ER,West Bengal,4740,4740,7843
01-01-2025,ER,Sikkim,60,60,134
01-01-2025,ER,Railway ER ISTS,6,6,36
01-01-2025,ER,Arunachal Pradesh,95,95,196
01-01-2025,ER,Assam,853,853,1561
01-01-2025,ER,Manipur,114,114,267
01-01-2025,ER,Meghalaya,204,204,393
01-01-2025,NER,Mizoram,70,70,168
01-01-2025,NER,Nagaland,75,75,159
01-01-2025,NER,Tripura,128,128,234
01-12-2024,NER,Chandigarh,128,128,283
01-12-2024,NER,Delhi,2357,2357,5213
